colA,colB,colC,colD,colE,colF,colG,colH
"2404.0000","5772.0000","","12428.0000",3,8,"4212.0000",2014
"2388.0000","5916.0000","","12735.0000",4,8,"4452.0000",2014
"2334.0000","6202.0000","","12546.0000",5,8,"4663.0000",2014
"2095.0000","5823.0000","","13848.0000",6,8,"4667.0000",2014
"2144.0000","6410.0000","","13871.0000",7,8,"5061.0000",2014
"2075.0000","6406.0000","","14290.0000",8,8,"5080.0000",2014
"2479.0000","6738.0000","","14080.0000",9,8,"4745.0000",2014
"2910.0000","6973.0000","","13847.0000",10,8,"4690.0000",2014
"2397.0000","7162.0000","","13755.0000",11,8,"4443.0000",2014
"2507.0000","7148.0000","","13492.0000",12,8,"4354.0000",2014
"3416.0000","7724.0000","","14090.0000",1,8,"4377.0000",2015
"4154.0000","8087.0000","","13852.0000",2,8,"4659.0000",2015
"4518.0000","8518.0000","","13535.0000",3,8,"5267.0000",2015
"5370.0000","8516.0000","","14224.0000",4,8,"5612.0000",2015
"6211.0000","8526.0000","","14179.0000",5,8,"5656.0000",2015
"2308.4750","2644.9110","","13850.2250",1,9,"10840.9040",2014
"2656.6130","2569.1630","","14011.9280",2,9,"11106.3980",2014
"2780.4770","2730.6950","","13658.6340",3,9,"11204.0380",2014
"3066.6180","2765.5590","","13954.9960",4,9,"10983.8610",2014
"1168.4510","2777.6210","","13670.9300",5,9,"11487.5730",2014
"1050.8960","2743.3160","","13238.3990",6,9,"11288.3710",2014
"1105.9950","2776.7140","","13397.8080",7,9,"11217.7670",2014
"1353.6190","2694.3980","","13128.0450",8,9,"11531.9880",2014
"1385.5230","2534.1670","","12591.3690",9,9,"11248.7580",2014
"1494.7520","2526.1310","","12020.4730",10,9,"11748.6810",2014
"1851.9340","2432.6700","","11763.1030",11,9,"11896.6430",2014
"1249.4120","2303.7530","","11665.8020",12,9,"11207.7740",2014
"1290.7750","2373.4120","","11760.6460",1,9,"12503.5160",2015
"1546.8040","2488.9410","","12196.8360",2,9,"12654.4860",2015
"1117.4760","2356.9370","","12337.8350",3,9,"12388.2280",2015
"1434.0310","2479.9960","","13477.6080",4,9,"13059.8060",2015
"1465.5420","2324.7910","","14288.3090",5,9,"12770.6770",2015
"83.2000","0.0000","","0.0000",1,10,"0.0000",2014
"124.6000","0.0000","","0.0000",2,10,"0.0000",2014
"88.6000","0.0000","","0.0000",3,10,"0.0000",2014
"85.6000","0.0000","","0.0000",4,10,"0.0000",2014
"26.6000","0.0000","","0.0000",5,10,"0.0000",2014
"24.3000","0.0000","","0.0000",6,10,"0.0000",2014
"19.2000","0.0000","","0.0000",7,10,"0.0000",2014
"41.1000","0.0000","","0.0000",8,10,"0.0000",2014
"36.1000","0.0000","","0.0000",9,10,"0.0000",2014
"28.6000","0.0000","","0.0000",10,10,"0.0000",2014
"25.7000","0.0000","","0.0000",11,10,"0.0000",2014
"25.4000","0.0000","","0.0000",12,10,"0.0000",2014
"35.8000","0.0000","","0.0000",1,10,"0.0000",2015
"34.1000","0.0000","","0.0000",2,10,"0.0000",2015
"48.4000","0.0000","","0.0000",3,10,"0.0000",2015
"37.6000","0.0000","","0.0000",4,10,"0.0000",2015
"35.0000","0.0000","","0.0000",5,10,"0.0000",2015
